2021-02-16 13:35:36.710589
{'religious-groups-in-schools=y'} | Support Value=0.6252873563218391
{'adoption-of-the-budget-resolution=n', 'Class Name=republican', 'mx-missile=n'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'Class Name=republican', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'aid-to-nicaraguan-contras=n', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.30344827586206896
{'synfuels-corporation-cutback=n', 'crime=y', 'Class Name=republican'} | Support Value=0.30344827586206896
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'duty-free-exports=n', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.30344827586206896
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'Class Name=republican'} | Support Value=0.30344827586206896
{'Class Name=republican', 'handicapped-infants=n', 'physician-fee-freeze=y'} | Support Value=0.30344827586206896
{'duty-free-exports=n', 'el-salvador-aid=y', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.30344827586206896
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'el-salvador-aid=n'} | Support Value=0.30344827586206896
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'anti-satellite-test-ban=n', 'physician-fee-freeze=y'} | Support Value=0.30344827586206896
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.30344827586206896
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'anti-satellite-test-ban=n', 'mx-missile=n', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'aid-to-nicaraguan-contras=n', 'education-spending=y'} | Support Value=0.30344827586206896
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.30344827586206896
{'religious-groups-in-schools=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.30344827586206896
{'crime=n', 'el-salvador-aid=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'physician-fee-freeze=n', 'education-spending=n', 'duty-free-exports=y'} | Support Value=0.30344827586206896
{'education-spending=n', 'superfund-right-to-sue=n', 'mx-missile=y'} | Support Value=0.30344827586206896
{'physician-fee-freeze=n', 'education-spending=n', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.30344827586206896
{'physician-fee-freeze=n', 'handicapped-infants=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.30344827586206896
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.30344827586206896
{'religious-groups-in-schools=n', 'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'duty-free-exports=n', 'mx-missile=n', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'education-spending=y'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'duty-free-exports=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'synfuels-corporation-cutback=n', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.30344827586206896
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'handicapped-infants=n'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'crime=y', 'mx-missile=n', 'education-spending=y'} | Support Value=0.30344827586206896
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.30114942528735633
{'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'el-salvador-aid=y', 'duty-free-exports=n', 'education-spending=y'} | Support Value=0.30114942528735633
{'duty-free-exports=n', 'religious-groups-in-schools=y', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.30114942528735633
{'religious-groups-in-schools=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'handicapped-infants=y', 'education-spending=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'el-salvador-aid=y', 'Class Name=republican', 'education-spending=y'} | Support Value=0.30114942528735633
{'crime=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'religious-groups-in-schools=n', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.30114942528735633
{'crime=n', 'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y'} | Support Value=0.30114942528735633
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.30114942528735633
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'education-spending=y'} | Support Value=0.30114942528735633
{'crime=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'handicapped-infants=n'} | Support Value=0.30114942528735633
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n', 'education-spending=y'} | Support Value=0.30114942528735633
{'crime=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'mx-missile=y'} | Support Value=0.30114942528735633
{'physician-fee-freeze=y', 'Class Name=republican', 'el-salvador-aid=y', 'education-spending=y'} | Support Value=0.30114942528735633
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'crime=y', 'mx-missile=n'} | Support Value=0.30114942528735633
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n'} | Support Value=0.30114942528735633
{'religious-groups-in-schools=n', 'education-spending=n'} | Support Value=0.30114942528735633
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.30114942528735633
{'crime=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.30114942528735633
{'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.30114942528735633
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'duty-free-exports=y'} | Support Value=0.30114942528735633
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'adoption-of-the-budget-resolution=n', 'Class Name=republican', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.30114942528735633
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'Class Name=republican', 'mx-missile=n'} | Support Value=0.30114942528735633
{'religious-groups-in-schools=y', 'handicapped-infants=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30114942528735633
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'duty-free-exports=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'crime=y', 'Class Name=republican'} | Support Value=0.30114942528735633
{'superfund-right-to-sue=y', 'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30114942528735633
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.30114942528735633
{'synfuels-corporation-cutback=n', 'mx-missile=n'} | Support Value=0.30114942528735633
{'aid-to-nicaraguan-contras=n', 'crime=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.30114942528735633
{'superfund-right-to-sue=y', 'crime=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30114942528735633
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'duty-free-exports=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30114942528735633
{'crime=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.30114942528735633
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.30114942528735633
